Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North America,NAC,76.88,77.08,77.19,77.3,77.72,77.75,77.95,78.24,78.3,78.65,78.81,78.92,79.03,79.04,79.14,79.01,78.88,78.88,78.89
South Asia,SAS,62.82,63.23,63.62,64.01,64.4,64.78,65.18,65.59,66.01,66.43,66.85,67.26,67.65,68.01,68.34,68.64,68.92,69.17,69.41
World,WLD,67.55,67.82,68.07,68.33,68.65,68.92,69.26,69.59,69.9,70.25,70.56,70.88,71.17,71.46,71.74,71.95,72.18,72.39,72.56
Low Income,LIC,53.58,54.11,54.69,55.31,55.96,56.63,57.31,57.99,58.65,59.29,59.88,60.43,60.95,61.45,61.91,62.35,62.76,63.14,63.5
Least Developed,LDC,55.48,55.98,56.5,57.06,57.65,58.26,58.88,59.52,60.16,60.78,61.39,61.97,62.52,63.03,63.51,63.95,64.35,64.71,65.04
Conflict Areas,FCS,54.73,55.03,55.37,55.75,56.17,56.6,57.05,57.51,57.95,58.38,58.79,59.18,59.56,59.93,60.29,60.62,60.93,61.22,61.5
High Incomes,HIC,77.45,77.75,77.88,78.02,78.43,78.53,78.84,79.08,79.23,79.52,79.7,79.95,80.07,80.26,80.51,80.39,80.54,80.59,80.66
Europe & Central Asia,ECS,73.03,73.29,73.41,73.52,73.96,74.12,74.62,74.98,75.24,75.64,75.94,76.46,76.62,76.95,77.29,77.24,77.59,77.79,77.91
East Asia & Pacific,EAS,71.17,71.48,71.77,72.07,72.36,72.62,72.92,73.2,73.47,73.76,74.01,74.27,74.56,74.85,75.13,75.39,75.64,75.87,76.07
Arab World,ARB,67.8,68.07,68.34,68.61,68.89,69.16,69.44,69.7,69.94,70.16,70.35,70.53,70.7,70.88,71.06,71.25,71.44,71.62,71.81
Sub-Saharan Africa,SSF,50.45,50.75,51.15,51.64,52.22,52.89,53.61,54.39,55.17,55.96,56.73,57.46,58.15,58.8,59.4,59.95,60.44,60.88,61.27
