id,country_name,country Code,series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9,Angola,AGO,Corruption Index,17,,17,18,20,20,22,22,19,19,19,20,22,23,19,15,18,21,19
9,Benin,BEN,Corruption Index,,,,45,38,29,25,27,31,29,28,30,36,36,39,37,36,39,40
9,Botswana,BWA,Corruption Index,60,60,64,57,60,59,56,54,58,56,58,61,65,64,63,63,60,60,61
9,Burkina Faso,BFA,Corruption Index,30,,,,,34,32,29,35,36,31,30,38,38,38,38,42,42,41
9,Burundi,BDI,Corruption Index,,,,,21,23,24,25,19,18,18,19,19,21,20,21,20,19,17
9,Cape Verde,CPV,Corruption Index,,,,,,,,24,51,51,51,55,60,58,57,55,59,55,57
9,Cameroon,CMR,Corruption Index,20,20,22,18,,22,23,49,23,22,22,25,26,25,27,27,26,25,25
9,Central African Republic,CAF,Corruption Index,,,,,,,24,20,20,20,21,22,26,25,24,24,20,26,26
9,Chad,TCD,Corruption Index,,,,,17,,20,18,16,16,17,22,19,19,22,22,20,20,19
9,Comoros,COM,Corruption Index,,,,,,,,26,25,23,22,20,28,28,26,26,24,28,27
9,Congo,COG,Corruption Index,,,,22,23,23,22,19,19,19,21,22,26,22,23,23,20,20,19
9,Ivory Coast,CIV,Corruption Index,27,24,27,37,20,19,21,21,20,21,21,22,29,27,32,32,34,36,35
9,DR Congo,COD,Corruption Index,,,,,20,21,20,21,17,19,20,20,21,22,22,22,21,21,20
9,Equatorial Guinea,GNQ,Corruption Index,,,,,,19,21,19,17,18,19,19,20,19,,,,17,16
9,Eritrea,ERI,Corruption Index,,,,,26,26,29,28,26,26,26,25,25,20,18,18,18,23,24
9,Ethiopia,ETH,Corruption Index,32,,35,25,23,22,24,24,26,27,27,27,33,33,33,33,34,33,34
9,Gabon,GAB,Corruption Index,,,,,33,29,30,33,31,29,28,30,35,34,37,34,35,31,31
9,Gambia,GMB,Corruption Index,,,,,28,27,25,23,19,29,32,35,34,28,29,28,26,37,37
9,Ghana,GHA,Corruption Index,35,34,39,33,36,35,33,37,39,39,41,39,45,46,48,47,43,42,41
9,Guinea,GIN,Corruption Index,,,,,,,19,19,16,18,20,21,24,24,25,25,27,28,28
9,Guinea-Bissau,GNB,Corruption Index,,,,,,,,22,19,19,21,22,25,19,19,17,16,17,16
9,Kenya,KEN,Corruption Index,21,20,19,19,21,21,22,21,21,22,21,22,27,27,25,25,26,27,27
9,Lesotho,LSO,Corruption Index,,,,,,34,32,33,32,33,35,35,45,49,49,44,39,40,41
9,Liberia,LBR,Corruption Index,,,,,,22,,21,24,31,33,32,41,38,37,37,37,32,32
9,Madagascar,MDG,Corruption Index,,,17,26,31,28,31,32,34,30,26,30,32,28,28,28,26,24,25
9,Malawi,MWI,Corruption Index,41,32,29,28,28,28,27,27,28,33,34,30,37,37,33,31,31,31,32
9,Mali,MLI,Corruption Index,,,,30,32,29,28,27,31,28,27,28,34,28,32,35,32,31,32
9,Mauritania,MRT,Corruption Index,,,,,,,31,26,28,25,23,24,31,30,30,31,27,27,27
9,Mauritius,MUS,Corruption Index,47,45,45,44,41,42,51,47,55,54,54,51,57,52,54,53,54,50,51
9,Mozambique,MOZ,Corruption Index,22,,,27,28,28,28,28,26,25,27,27,31,30,31,31,27,22,23
9,Namibia,NAM,Corruption Index,54,54,57,47,41,43,41,45,45,45,44,44,48,48,49,53,52,51,53
9,Niger,NER,Corruption Index,,,,,22,24,23,26,28,29,26,25,33,34,35,34,35,32,34
9,Nigeria,NGA,Corruption Index,12,10,16,14,16,19,22,22,27,25,24,24,27,25,27,26,28,27,27
9,Rwanda,RWA,Corruption Index,,,,,,31,25,28,30,33,40,50,53,53,49,54,54,55,56
9,Sao Tome and Principe,STP,Corruption Index,,,,,,,,27,27,28,30,30,42,42,42,42,46,46,46
9,Senegal,SEN,Corruption Index,35,29,31,32,30,32,33,36,34,30,29,29,36,41,43,44,45,45,45
9,Seychelles,SYC,Corruption Index,,,,,44,40,36,45,48,48,48,48,52,54,55,55,30,61,66
9,Sierra Leone,SLE,Corruption Index,,,,22,23,24,22,21,19,22,24,25,31,30,31,29,10,30,30
9,South Africa,ZAF,Corruption Index,50,48,48,44,46,45,46,51,49,47,45,41,43,42,44,44,45,43,43
9,South Sudan,SSD,Corruption Index,,,,,,,,,,,,,,14,15,15,11,12,13
9,Sudan,SDN,Corruption Index,,,,23,22,21,20,18,16,15,16,16,13,11,11,15,14,16,16
9,Swaziland,SWZ,Corruption Index,,,,,,,,,,,,,37,39,,,,39,38
9,Tanzania,TZA,Corruption Index,25,22,27,25,28,29,29,32,30,26,27,30,35,33,31,30,32,36,36
9,Togo,TGO,Corruption Index,,,,,,,24,23,27,28,24,24,30,29,29,32,32,30,30
9,Uganda,UGA,Corruption Index,23,19,21,22,26,25,27,28,26,25,25,24,29,26,26,25,25,25,26
9,Zambia,ZMB,Corruption Index,34,26,26,25,26,,26,26,28,30,30,32,37,38,38,38,38,35,35
9,Zimbabwe,ZWE,Corruption Index,30,29,27,23,23,26,24,21,18,22,24,22,20,21,21,21,22,22,22
9,Sub Saharan Africa,SSF,Corruption Index,32.37,31.47,31.5,29.42,28.81,28.54,27.95,28.24,28.38,28.62,28.87,29.53,33.85,32.55,33.02,32.87,31.49,32.53,32.74
