id,country_name,country_code,series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7,Angola,AGO,Education Index,0.29,0.3,0.31,0.32,0.34,0.35,0.36,0.38,0.39,0.4,0.4,0.42,0.44,0.45,0.46,0.47,0.49,0.5,0.5
7,Benin,BEN,Education Index,0.27,0.29,0.31,0.32,0.33,0.34,0.36,0.37,0.38,0.39,0.4,0.41,0.43,0.45,0.46,0.47,0.47,0.47,0.48
7,Botswana,BWA,Education Index,0.59,0.6,0.6,0.6,0.61,0.61,0.62,0.63,0.63,0.63,0.64,0.64,0.65,0.65,0.65,0.66,0.66,0.66,0.66
7,Burkina Faso,BFA,Education Index,0.14,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.21,0.22,0.23,0.25,0.25,0.26,0.26,0.28,0.29,0.3,0.3
7,Burundi,BDI,Education Index,0.19,0.19,0.2,0.21,0.23,0.24,0.28,0.3,0.32,0.36,0.38,0.39,0.4,0.41,0.42,0.42,0.43,0.41,0.42
7,Cape Verde,CPV,Education Index,0.44,0.44,0.45,0.45,0.46,0.46,0.49,0.49,0.5,0.5,0.51,0.52,0.52,0.54,0.54,0.54,0.54,0.54,0.54
7,Cameroon,CMR,Education Index,0.37,0.41,0.41,0.41,0.41,0.41,0.41,0.43,0.44,0.46,0.38,0.49,0.51,0.52,0.53,0.55,0.56,0.56,0.56
7,Central African Republic,CAF,Education Index,0.24,0.25,0.26,0.26,0.27,0.28,0.28,0.29,0.29,0.3,0.31,0.32,0.32,0.33,0.33,0.34,0.35,0.35,0.35
7,Chad,TCD,Education Index,0.18,0.19,0.2,0.2,0.2,0.2,0.21,0.22,0.23,0.25,0.25,0.27,0.28,0.29,0.3,0.28,0.28,0.29,0.29
7,Comoros,COM,Education Index,0.33,0.34,0.35,0.36,0.36,0.38,0.39,0.4,0.41,0.42,0.43,0.46,0.47,0.47,0.47,0.47,0.47,0.48,0.48
7,Congo,COG,Education Index,0.45,0.45,0.45,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.5,0.5,0.5,0.51,0.52,0.53,0.54,0.54,0.54
7,DR Congo,COD,Education Index,0.31,0.32,0.32,0.33,0.34,0.35,0.36,0.38,0.41,0.42,0.45,0.45,0.45,0.47,0.48,0.48,0.49,0.5,0.5
7,Ivory Coast,CIV,Education Index,0.3,0.31,0.31,0.32,0.33,0.34,0.34,0.35,0.36,0.37,0.38,0.39,0.39,0.4,0.39,0.42,0.44,0.44,0.44
7,Equatorial Guinea,GNQ,Education Index,0.4,0.41,0.41,0.42,0.42,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
7,Eritrea,ERI,Education Index,..,..,..,..,..,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.29,0.28,0.28,0.27,0.27
7,Swaziland,SWZ,Education Index,0.39,0.38,0.37,0.38,0.4,0.43,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.52,0.53,0.54,0.54,0.54,0.54
7,Ethiopia,ETH,Education Index,0.17,0.19,0.2,0.21,0.22,0.25,0.26,0.28,0.3,0.3,0.31,0.31,0.31,0.32,0.32,0.33,0.33,0.34,0.34
7,Gabon,GAB,Education Index,0.55,0.55,0.56,0.56,0.57,0.58,0.58,0.59,0.59,0.59,0.6,0.6,0.61,0.61,0.62,0.62,0.63,0.63,0.64
7,Gambia,GMB,Education Index,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.34,0.34,0.35,0.36,0.36,0.37,0.37,0.38,0.39
7,Ghana,GHA,Education Index,0.43,0.42,0.43,0.42,0.44,0.45,0.47,0.49,0.51,0.52,0.53,0.53,0.54,0.55,0.54,0.56,0.56,0.56,0.56
7,Guinea,GIN,Education Index,0.19,0.2,0.21,0.19,0.24,0.25,0.27,0.27,0.28,0.28,0.29,0.31,0.32,0.33,0.34,0.34,0.34,0.34,0.34
7,Guinea-Bissau,GNB,Education Index,..,..,..,..,..,0.31,0.33,0.33,0.35,0.35,0.36,0.37,0.38,0.38,0.4,0.4,0.4,0.4,0.4
7,Kenya,KEN,Education Index,0.41,0.41,0.41,0.43,0.45,0.46,0.48,0.48,0.48,0.49,0.5,0.5,0.51,0.51,0.51,0.51,0.52,0.52,0.53
7,Lesotho,LSO,Education Index,0.45,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.48,0.5,0.49,0.5,0.51,0.5,0.5,0.5,0.5,0.51,0.51
7,Liberia,LBR,Education Index,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.43,0.41,0.42,0.42,0.42,0.42,0.42,0.42
7,Madagascar,MDG,Education Index,0.4,0.4,0.41,0.42,0.43,0.44,0.44,0.45,0.47,0.48,0.48,0.48,0.49,0.49,0.49,0.5,0.49,0.49,0.49
7,Malawi,MWI,Education Index,0.38,0.39,0.39,0.39,0.38,0.37,0.38,0.38,0.41,0.42,0.43,0.43,0.44,0.45,0.46,0.46,0.46,0.46,0.46
7,Mali,MLI,Education Index,0.17,0.18,0.19,0.2,0.21,0.23,0.24,0.22,0.26,0.27,0.28,0.28,0.28,0.28,0.29,0.27,0.28,0.29,0.29
7,Mauritania,MRT,Education Index,0.28,0.28,0.29,0.29,0.31,0.31,0.32,0.32,0.32,0.33,0.34,0.34,0.36,0.37,0.38,0.39,0.38,0.39,0.39
7,Mauritius,MUS,Education Index,0.55,0.56,0.57,0.58,0.6,0.61,0.62,0.63,0.64,0.66,0.66,0.68,0.7,0.71,0.73,0.72,0.73,0.73,0.73
7,Mozambique,MOZ,Education Index,0.24,0.25,0.27,0.28,0.3,0.32,0.33,0.35,0.36,0.37,0.37,0.34,0.35,0.36,0.37,0.37,0.38,0.39,0.39
7,Namibia,NAM,Education Index,0.51,0.52,0.52,0.52,0.52,0.52,0.51,0.52,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.57,0.57,0.58,0.58
7,Niger,NER,Education Index,0.12,0.12,0.12,0.13,0.14,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.23,0.25,0.25
7,Nigeria,NGA,Education Index,..,..,..,0.41,0.42,0.43,0.43,0.43,0.44,0.44,0.41,0.42,0.44,0.48,0.47,0.47,0.48,0.49,0.49
7,Rwanda,RWA,Education Index,0.28,0.28,0.3,0.32,0.34,0.35,0.38,0.4,0.39,0.42,0.44,0.44,0.44,0.44,0.45,0.43,0.45,0.45,0.46
7,Sao Tome and Principe,STP,Education Index,0.4,0.41,0.41,0.42,0.43,0.43,0.44,0.44,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.53,0.53,0.56,0.57
7,Senegal,SEN,Education Index,0.21,0.24,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.29,0.3,0.32,0.33,0.34,0.35,0.35,0.35,0.35,0.35
7,Seychelles,SYC,Education Index,0.59,0.58,0.59,0.6,0.59,0.62,0.59,0.64,0.66,0.67,0.68,0.66,0.71,0.72,0.75,0.76,0.76,0.75,0.75
7,Sierra Leone,SLE,Education Index,0.27,0.28,0.29,0.3,0.3,0.31,0.32,0.33,0.33,0.34,0.35,0.36,0.36,0.37,0.37,0.38,0.39,0.4,0.4
7,South Africa,ZAF,Education Index,0.65,0.61,0.64,0.65,0.65,0.66,0.66,0.66,0.68,0.69,0.7,0.67,0.69,0.7,0.71,0.72,0.72,0.72,0.72
7,South Sudan,SSD,Education Index,..,..,..,..,..,..,..,..,..,..,0.3,0.33,0.33,0.32,0.31,0.3,0.3,0.3,0.3
7,Sudan,SDN,Education Index,0.24,0.24,0.25,0.26,0.27,0.27,0.28,0.28,0.3,0.31,0.31,0.3,0.31,0.32,0.33,0.33,0.34,0.34,0.34
7,Tanzania,TZA,Education Index,0.31,0.32,0.33,0.34,0.35,0.37,0.38,0.39,0.4,0.41,0.42,0.42,0.43,0.42,0.42,0.43,0.42,0.42,0.42
7,Togo,TGO,Education Index,0.4,0.41,0.41,0.42,0.42,0.43,0.44,0.42,0.44,0.45,0.46,0.48,0.48,0.49,0.49,0.5,0.51,0.51,0.51
7,Uganda,UGA,Education Index,0.43,0.44,0.46,0.46,0.44,0.45,0.45,0.46,0.47,0.48,0.49,0.49,0.48,0.49,0.5,0.5,0.5,0.51,0.52
7,Zambia,ZMB,Education Index,0.47,0.48,0.49,0.5,0.51,0.51,0.52,0.51,0.52,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.55,0.57,0.57
7,Zimbabwe,ZWE,Education Index,0.49,0.5,0.49,0.48,0.49,0.49,0.5,0.5,0.51,0.52,0.52,0.53,0.55,0.55,0.56,0.56,0.57,0.57,0.57
7,Sub-Saharan Africa,SSF,Education Index,0.34,0.34,0.36,0.37,0.38,0.39,0.4,0.4,0.42,0.43,0.42,0.43,0.44,0.45,0.45,0.46,0.46,0.47,0.47
