id,country_name,country_code,series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,Angola,AGO,Health Expenditure,1.91,4.48,3.33,3.55,3.97,2.85,2.69,2.97,3.32,3.84,2.7,2.65,2.4,2.73,2.43,2.61,2.71,2.79,..
4,Benin,BEN,Health Expenditure,4.23,4.43,4.15,4.15,4.2,4.01,4.06,3.95,3.68,3.86,4.09,4.22,4.67,3.91,3.65,3.99,3.86,3.72,..
4,Botswana,BWA,Health Expenditure,5.83,6.16,6.42,6.18,5.8,5.03,4.77,5.33,5.78,6.53,6.19,5.78,6.14,6.22,5.6,5.73,5.56,6.13,..
4,Burundi,BDI,Health Expenditure,6.18,6.4,6.47,6.31,7.7,8.42,9.94,10.58,9.24,10.35,11.28,10.07,8.53,8.14,6.89,6.58,7.49,7.52,..
4,Cape Verde,CPV,Health Expenditure,4.43,4.75,4.76,4.5,4.38,4.27,4.49,4.19,3.58,3.88,4.48,4.31,5.13,5.29,5.33,4.82,4.84,5.17,..
4,Cameroon,CMR,Health Expenditure,3.98,4.18,4.35,4.41,4.05,4.14,4.1,4.16,4.4,4.33,4.5,3.4,4.54,4.5,4.53,4.7,4.68,4.67,..
4,Central African Republic,CAF,Health Expenditure,4.43,3.91,4.27,4.61,4.2,4.76,4.46,4.77,4.02,4.35,3.74,3.82,3.87,4.84,4.85,6.31,4.28,5.82,..
4,Chad,TCD,Health Expenditure,5.46,5.29,7.27,5.51,5.5,4.84,4.87,4.34,4.06,4.44,4.06,3.91,3.86,4.07,4.27,4.52,4.96,4.49,..
4,DR Congo,COD,Health Expenditure,1.57,2.73,2.68,3.84,4.44,4.27,4.46,4.44,5.14,4.64,4.02,3.43,3.57,3.57,3.98,3.94,3.89,3.98,..
4,Congo,COG,Health Expenditure,1.69,2.38,1.88,2.12,2.11,1.88,1.78,2.24,2.55,2.22,1.98,1.85,2.47,2.49,2.51,3.42,3.49,2.93,..
4,Ivory Coast,CIV,Health Expenditure,5.6,4.79,4.4,4.54,5.15,5.29,5.76,6.29,6.31,6.18,6.1,6.08,6.12,5.14,5.16,4.42,4.54,4.45,..
4,Comoros,COM,Health Expenditure,12.24,10.93,10.96,10.33,10.32,9.86,9.7,9.34,8.98,8.57,8.51,9.1,7.93,7.77,7.58,7.78,7.49,7.38,..
4,Equatorial Guinea,GNQ,Health Expenditure,2.32,2.3,2.42,1.98,1.75,1.51,1.52,1.57,1.83,1.84,1.82,1.55,1.26,1.88,2.19,2.92,3.16,3.11,..
4,Eritrea,ERI,Health Expenditure,4.46,4.58,5.18,5.68,5.43,5.31,5.31,4.09,3.9,4.35,3.46,4.15,2.94,2.83,2.82,2.86,2.91,2.87,..
4,Swaziland,SWZ,Health Expenditure,4.61,5.14,5.52,6.38,6.81,7.38,7.83,7.93,8.86,8.63,8.59,8.47,7.92,7.52,7.33,7.13,6.82,6.93,..
4,Ethiopia,ETH,Health Expenditure,4.37,4.72,4.71,4.9,4.31,4.1,4.46,5,4.28,4.65,5.47,4.47,4.54,4.08,4.03,3.94,3.85,3.5,..
4,Gabon,GAB,Health Expenditure,2.91,3.15,3.33,3.54,3.33,2.93,3.15,3.15,2.79,3.84,2.48,2.56,2.42,2.84,2.53,2.66,3.11,2.78,..
4,Gambia,GMB,Health Expenditure,2.69,2.45,2.35,2.34,2.52,2.84,3.34,3.59,3.54,3.5,3.35,4.01,3.92,4.06,3.46,3.1,2.96,3.28,..
4,Ghana,GHA,Health Expenditure,2.84,3.22,2.83,2.85,2.94,3.83,3.81,3.96,4.14,4.62,4.61,4.67,4.12,4.62,4.1,4.62,3.46,3.26,..
4,Guinea-Bissau,GNB,Health Expenditure,7.71,6.79,6.33,6.65,8.05,7.68,7.27,7.56,7.28,7.18,6.65,6.03,5.69,6.89,9.49,8.59,8.04,7.24,..
4,Kenya,KEN,Health Expenditure,4.64,4.8,4.96,5.17,5.34,5.31,5.87,6,6.05,6.03,6.12,5.81,5.61,5.52,5.46,5.22,5.02,4.8,..
4,Lesotho,LSO,Health Expenditure,5.86,6.37,5.96,5.62,5.63,5.07,5.69,6.77,7.25,8.38,7.62,8.8,8.58,9.01,8.62,8.4,7.95,8.76,..
4,Malawi,MWI,Health Expenditure,3.35,2.98,3.78,4.67,5.73,6.06,6.92,7.66,8.6,8.27,7.24,7.49,8.48,11.58,9.71,9.33,9.69,9.65,..
4,Madagascar,MDG,Health Expenditure,5.23,5.58,5.77,5.51,6.13,6.01,5.89,5.21,4.72,5.01,5.32,5.19,4.41,4.23,5.08,5.72,6.12,5.5,..
