id,country_name,country_code,series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6,Angola,AGO,Human Development Index,0.394,0.404,0.419,0.428,0.44,0.453,0.466,0.482,0.494,0.508,0.51,0.525,0.537,0.547,0.557,0.565,0.57,0.576,0.574
6,Benin,BEN,Human Development Index,0.398,0.41,0.419,0.426,0.434,0.44,0.447,0.455,0.462,0.468,0.473,0.479,0.489,0.5,0.505,0.51,0.512,0.515,0.52
6,Botswana,BWA,Human Development Index,0.578,0.58,0.576,0.583,0.589,0.598,0.612,0.625,0.638,0.647,0.66,0.676,0.687,0.699,0.709,0.714,0.719,0.724,0.728
6,Burkina Faso,BFA,Human Development Index,0.286,0.29,0.296,0.303,0.312,0.324,0.333,0.344,0.357,0.366,0.375,0.385,0.394,0.401,0.405,0.413,0.42,0.429,0.434
6,Burundi,BDI,Human Development Index,0.293,0.294,0.304,0.312,0.322,0.329,0.351,0.363,0.375,0.391,0.402,0.41,0.416,0.422,0.429,0.427,0.427,0.421,0.423
6,Cape Verde,CPV,Human Development Index,0.564,0.566,0.576,0.58,0.586,0.592,0.606,0.615,0.622,0.623,0.626,0.633,0.634,0.641,0.641,0.643,0.645,0.647,0.651
6,Cameroon,CMR,Human Development Index,0.439,0.455,0.457,0.463,0.468,0.469,0.47,0.481,0.489,0.497,0.471,0.513,0.524,0.531,0.54,0.548,0.556,0.56,0.563
6,Central African Republic,CAF,Human Development Index,0.307,0.311,0.314,0.314,0.319,0.323,0.328,0.334,0.339,0.346,0.355,0.363,0.37,0.351,0.355,0.362,0.372,0.376,0.381
6,Chad,TCD,Human Development Index,0.298,0.306,0.311,0.31,0.326,0.331,0.337,0.345,0.35,0.366,0.374,0.385,0.393,0.399,0.406,0.403,0.398,0.401,0.401
6,Comoros,COM,Human Development Index,0.457,0.462,0.467,0.473,0.474,0.48,0.487,0.492,0.499,0.506,0.513,0.524,0.529,0.532,0.534,0.535,0.537,0.539,0.538
6,Congo,COG,Human Development Index,0.495,0.501,0.504,0.504,0.508,0.506,0.508,0.523,0.538,0.55,0.557,0.559,0.571,0.581,0.595,0.614,0.613,0.609,0.609
6,DR Congo,COD,Human Development Index,0.333,0.333,0.34,0.349,0.357,0.364,0.372,0.382,0.393,0.4,0.416,0.419,0.423,0.429,0.441,0.445,0.453,0.456,0.459
6,Ivory Coast,CIV,Human Development Index,0.407,0.408,0.409,0.411,0.417,0.425,0.43,0.435,0.441,0.448,0.454,0.457,0.467,0.475,0.478,0.494,0.508,0.512,0.516
6,Equatorial Guinea,GNQ,Human Development Index,0.52,0.523,0.536,0.535,0.545,0.569,0.579,0.585,0.586,0.588,0.58,0.583,0.587,0.588,0.59,0.593,0.592,0.59,0.588
6,Eritrea,ERI,Human Development Index,..,..,..,..,..,0.424,0.425,0.427,0.423,0.432,0.433,0.433,0.422,0.425,0.436,0.433,0.434,0.431,0.434
6,Swaziland,SWZ,Human Development Index,0.468,0.457,0.445,0.44,0.448,0.459,0.472,0.482,0.491,0.501,0.513,0.528,0.542,0.558,0.573,0.585,0.596,0.603,0.608
6,Ethiopia,ETH,Human Development Index,0.283,0.298,0.306,0.31,0.325,0.346,0.362,0.377,0.394,0.402,0.412,0.423,0.429,0.439,0.446,0.453,0.46,0.467,0.47
6,Gabon,GAB,Human Development Index,0.627,0.63,0.632,0.633,0.632,0.638,0.638,0.643,0.645,0.653,0.658,0.663,0.672,0.679,0.688,0.692,0.696,0.7,0.702
6,Gambia,GMB,Human Development Index,0.382,0.389,0.392,0.4,0.409,0.413,0.418,0.424,0.431,0.434,0.437,0.435,0.441,0.448,0.449,0.454,0.456,0.459,0.466
6,Ghana,GHA,Human Development Index,0.483,0.482,0.487,0.489,0.497,0.508,0.518,0.529,0.542,0.547,0.554,0.563,0.57,0.578,0.577,0.585,0.587,0.591,0.596
6,Guinea,GIN,Human Development Index,0.335,0.341,0.351,0.338,0.363,0.373,0.384,0.393,0.4,0.4,0.408,0.421,0.431,0.439,0.446,0.449,0.456,0.463,0.466
6,Guinea-Bissau,GNB,Human Development Index,..,..,..,..,..,0.393,0.401,0.407,0.413,0.419,0.426,0.435,0.437,0.441,0.45,0.453,0.457,0.46,0.461
6,Kenya,KEN,Human Development Index,0.446,0.45,0.45,0.462,0.475,0.484,0.499,0.507,0.515,0.524,0.533,0.54,0.545,0.551,0.556,0.562,0.568,0.574,0.579
6,Lesotho,LSO,Human Development Index,0.444,0.445,0.44,0.438,0.433,0.43,0.431,0.441,0.446,0.455,0.461,0.47,0.48,0.486,0.493,0.499,0.507,0.514,0.518
6,Liberia,LBR,Human Development Index,0.422,0.421,0.423,0.402,0.412,0.417,0.424,0.431,0.436,0.438,0.441,0.457,0.455,0.463,0.464,0.463,0.463,0.466,0.465
6,Madagascar,MDG,Human Development Index,0.456,0.462,0.457,0.466,0.472,0.479,0.484,0.491,0.5,0.503,0.504,0.504,0.507,0.509,0.512,0.514,0.515,0.518,0.521
6,Malawi,MWI,Human Development Index,0.362,0.362,0.363,0.367,0.368,0.373,0.383,0.394,0.411,0.426,0.437,0.447,0.452,0.463,0.472,0.475,0.478,0.482,0.485
6,Mali,MLI,Human Development Index,0.308,0.321,0.33,0.343,0.352,0.363,0.372,0.367,0.39,0.398,0.403,0.408,0.408,0.408,0.414,0.412,0.42,0.426,0.427
6,Mauritania,MRT,Human Development Index,0.446,0.446,0.451,0.455,0.465,0.47,0.479,0.479,0.48,0.487,0.49,0.494,0.503,0.511,0.518,0.521,0.519,0.524,0.527
6,Mauritius,MUS,Human Development Index,0.674,0.683,0.688,0.697,0.705,0.713,0.72,0.728,0.734,0.742,0.748,0.756,0.768,0.775,0.786,0.786,0.79,0.793,0.796
6,Mozambique,MOZ,Human Development Index,0.301,0.314,0.32,0.334,0.343,0.354,0.361,0.372,0.381,0.389,0.396,0.391,0.398,0.412,0.42,0.428,0.435,0.442,0.446
6,Namibia,NAM,Human Development Index,0.543,0.542,0.54,0.542,0.544,0.544,0.55,0.558,0.566,0.575,0.588,0.601,0.612,0.622,0.631,0.637,0.639,0.643,0.645
