id,country_name,country_code,series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
5,Angola,AGO,Life Expectancy,46.5,47.1,47.7,48.4,49.3,50.2,51.1,52.2,53.2,54.3,55.4,56.3,57.2,58.1,58.8,59.4,59.9,60.4,60.8
5,Benin,BEN,Life Expectancy,55.4,55.7,56,56.4,56.9,57.4,57.8,58.3,58.7,59,59.3,59.6,59.8,60.1,60.3,60.6,60.9,61.2,61.5
5,Botswana,BWA,Life Expectancy,50.6,50.3,50.2,50.5,51.2,52.1,53.4,55,56.7,58.4,60.2,61.9,63.5,65,66.3,67.3,68.2,68.8,69.3
5,Burkina Faso,BFA,Life Expectancy,50.5,50.9,51.4,52,52.6,53.3,54.1,54.8,55.6,56.4,57.1,57.8,58.4,58.9,59.5,59.9,60.4,60.8,61.2
5,Cape verde,CPV,Life Expectancy,68.6,69.1,69.6,69.9,70.2,70.4,70.6,70.7,70.8,70.9,71.1,71.2,71.4,71.7,71.9,72.1,72.3,72.6,72.8
5,Cameroon,CMR,Life Expectancy,51,51.2,51.5,51.9,52.3,52.8,53.2,53.7,54.2,54.6,55.1,55.6,56.1,56.6,57.1,57.6,58.1,58.5,58.9
5,Burundi,BDI,Life Expectancy,49.1,49.9,50.8,51.7,52.5,53.4,54.2,54.9,55.7,56.5,57.2,57.9,58.6,59.1,59.7,60.1,60.5,60.9,61.2
5,Central African Republic,CAF,Life Expectancy,44.2,44.1,44.1,44.2,44.4,44.7,45.2,45.6,46.2,46.7,47.3,48,48.6,49.4,50.1,50.9,51.6,52.2,52.8
5,Chad,TCD,Life Expectancy,47.7,47.8,47.9,48.1,48.3,48.5,48.9,49.3,49.8,50.3,50.9,51.4,51.9,52.4,52.8,53.1,53.4,53.7,54
5,Comoros,COM,Life Expectancy,59.5,59.5,59.6,59.7,59.9,60.1,60.4,60.7,61.1,61.5,61.9,62.2,62.6,62.9,63.2,63.5,63.7,63.9,64.1
5,Congo   ,COG,Life Expectancy,52.1,52.5,53.1,53.8,54.7,55.6,56.6,57.5,58.5,59.3,60.1,60.8,61.4,62,62.6,63.1,63.6,64,64.3
5,DR Congo,COD,Life Expectancy,50,50.7,51.4,52.1,52.9,53.7,54.4,55.1,55.7,56.4,56.9,57.4,57.9,58.4,58.8,59.3,59.7,60,60.4
5,Ivory Coast,CIV,Life Expectancy,49.6,49.5,49.5,49.6,49.8,50.1,50.6,51.1,51.7,52.3,53,53.6,54.3,54.9,55.5,56.1,56.6,57,57.4
5,Equatorial Guinea,GNQ,Life Expectancy,53.3,53.6,53.8,54.1,54.3,54.4,54.6,54.8,55.1,55.3,55.6,55.9,56.3,56.6,57,57.4,57.7,58.1,58.4
5,Eritrea,ERI,Life Expectancy,55.3,55.9,56.5,57.2,57.9,58.7,59.5,60.2,61,61.6,62.2,62.7,63.2,63.7,64.2,64.7,65.1,65.5,65.9
5,Swaziland,SWZ,Life Expectancy,47.5,45.8,44.4,43.4,42.7,42.5,42.7,43.3,44.2,45.3,46.6,48.1,49.9,51.7,53.6,55.4,57,58.3,59.4
5,Ethiopia,ETH,Life Expectancy,51.9,52.6,53.3,54.2,55.2,56.2,57.3,58.5,59.6,60.6,61.6,62.5,63.3,64,64.5,65,65.5,65.9,66.2
5,Gambia,GMB,Life Expectancy,56,56.4,56.8,57.2,57.6,57.9,58.3,58.7,59,59.3,59.6,59.9,60.2,60.4,60.7,60.9,61.2,61.4,61.7
5,Gabon,GAB,Life Expectancy,58.3,58,57.8,57.8,57.9,58.2,58.6,59.2,59.9,60.6,61.4,62.2,62.9,63.6,64.3,64.9,65.4,65.8,66.2
5,Ghana,GHA,Life Expectancy,57,57.2,57.4,57.8,58.2,58.7,59.2,59.7,60.2,60.6,61,61.4,61.7,62.1,62.4,62.8,63.1,63.5,63.8
5,Guinea,GIN,Life Expectancy,51.2,51.3,51.5,51.9,52.5,53.2,54.1,54.9,55.6,56.3,56.9,57.4,57.9,58.4,59,59.6,60.2,60.7,61.2
5,Guinea-Bissau,GNB,Life Expectancy,50.4,50.7,51.1,51.5,51.9,52.3,52.7,53.1,53.6,54.1,54.6,55.1,55.6,56.1,56.6,57,57.3,57.7,58
5,Kenya,KEN,Life Expectancy,50.9,51.1,51.6,52.4,53.5,54.7,56.1,57.5,58.8,59.9,61,61.9,62.7,63.4,64.1,64.8,65.4,65.9,66.3
5,Lesotho,LSO,Life Expectancy,47.7,46.2,44.9,43.8,43.1,42.7,42.6,42.9,43.4,44.1,45.1,46.2,47.4,48.7,49.9,51,52.1,52.9,53.7
5,Liberia,LBR,Life Expectancy,51.7,52.2,52.8,53.6,54.4,55.4,56.4,57.4,58.2,59,59.6,60.1,60.7,61.2,61.7,62.3,62.8,63.3,63.7
5,Madagascar,MDG,Life Expectancy,58.5,59.1,59.7,60.3,60.8,61.2,61.7,62.1,62.5,62.9,63.4,63.8,64.3,64.7,65.1,65.5,65.9,66.3,66.7
5,Malawi,MWI,Life Expectancy,45.1,45.2,45.5,46.1,46.8,47.8,49.1,50.6,52.2,53.9,55.6,57.2,58.6,59.9,61,62,62.7,63.3,63.8
5,Mali,MLI,Life Expectancy,48.1,48.8,49.5,50.4,51.2,52.1,52.8,53.6,54.2,54.8,55.3,55.7,56.1,56.6,57,57.5,58,58.5,58.9
5,Mauritania,MRT,Life Expectancy,60.7,60.8,60.9,61,61.2,61.3,61.6,61.8,62,62.3,62.5,62.8,63.1,63.4,63.7,63.9,64.2,64.5,64.7
5,Mauritius,MUS,Life Expectancy,71.7,71.8,72,72.1,72.3,72.4,72.4,72.6,72.6,72.9,73,73.3,73.9,74,74.2,74.4,74.4,74.5,74.4
5,Mozambique,MOZ,Life Expectancy,48.9,49.3,49.6,49.9,50.1,50.4,50.6,50.9,51.3,51.7,52.3,53,53.9,54.9,56.1,57.2,58.3,59.3,60.2
5,Namibia,NAM,Life Expectancy,52.2,51.4,50.9,50.6,50.6,50.9,51.6,52.6,53.8,55.2,56.7,58.1,59.4,60.5,61.4,62.1,62.6,63,63.4
5,Niger,NER,Life Expectancy,49.9,50.6,51.3,52,52.7,53.4,54.2,55,55.8,56.6,57.3,58.1,58.8,59.5,60.1,60.6,61.1,61.6,62
5,Nigeria,NGA,Life Expectancy,46.3,46.5,46.8,47.2,47.7,48.3,48.8,49.4,49.9,50.4,50.9,51.3,51.8,52.2,52.7,53.1,53.5,54,54.3
5,Rwanda,RWA,Life Expectancy,48.6,49.9,51,52.2,53.6,55.3,57.1,58.9,60.6,62.1,63.4,64.5,65.4,66.2,66.9,67.5,67.9,68.3,68.7
5,Senegal,SEN,Life Expectancy,57.8,58.2,58.7,59.3,59.9,60.6,61.4,62.1,62.9,63.6,64.3,64.9,65.4,65.9,66.4,66.7,67.1,67.4,67.7
5,Seychelles,SYC,Life Expectancy,72.8,73.3,71.1,71,72.7,72.1,72.2,73.1,73.2,73.1,73.2,72.7,74.3,73.1,73.2,74.3,74.3,74.3,72.8
5,Sao Tome and Principe,STP,Life Expectancy,61.4,62,62.7,63.4,64,64.7,65.3,65.9,66.4,66.9,67.4,67.9,68.3,68.7,69.1,69.4,69.7,69.9,70.2
5,Sierra Leone,SLE,Life Expectancy,39.4,40.4,41.4,42.4,43.5,44.5,45.5,46.5,47.5,48.5,49.4,50.2,51,51.7,52.4,52.9,53.4,53.9,54.3
5,South Africa,ZAF,Life Expectancy,56,55.1,54.3,53.7,53.4,53.4,53.8,54.5,55.4,56.5,57.7,58.9,60.1,61.1,62,62.6,63.2,63.5,63.9
5,South Sudan,SSD,Life Expectancy,49.2,49.6,50.1,50.6,51.1,51.7,52.3,53,53.6,54.2,54.8,55.3,55.8,56.2,56.6,56.9,57.1,57.4,57.6
5,Sudan,SDN,Life Expectancy,58.5,58.9,59.3,59.7,60.1,60.5,61,61.4,61.9,62.3,62.8,63.2,63.5,63.9,64.2,64.4,64.7,64.9,65.1
5,Tanzania,TZA,Life Expectancy,50.8,51.4,52.1,52.9,53.6,54.3,55.1,55.9,56.8,57.7,58.6,59.5,60.5,61.4,62.3,63.1,63.8,64.5,65
5,Togo,TGO,Life Expectancy,53.5,53.6,53.7,53.9,54.2,54.6,55.1,55.6,56.2,56.8,57.5,58.1,58.7,59.2,59.6,59.9,60.2,60.5,60.8
5,Uganda,UGA,Life Expectancy,46.2,47.2,48.3,49.4,50.6,51.7,52.8,53.9,55,56.1,57.1,58.1,59,59.9,60.7,61.4,62,62.5,63
5,Zambia,ZMB,Life Expectancy,44,44.6,45.4,46.3,47.4,48.5,49.8,51.1,52.6,54.1,55.7,57.1,58.5,59.7,60.8,61.7,62.5,63,63.5
5,Zimbabwe,ZWE,Life Expectancy,44.6,44,43.5,43.2,43.1,43.2,43.9,44.9,46.5,48.4,50.6,52.9,55,56.9,58.4,59.5,60.3,60.8,61.2
