Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,AGO,17,,17,18,20,20,22,22,19,19,19,20,22,23,19,15,18,21,19
Benin,BEN,,,,45,38,29,25,27,31,29,28,30,36,36,39,37,36,39,40
Botswana,BWA,60,60,64,57,60,59,56,54,58,56,58,61,65,64,63,63,60,60,61
Burkina Faso,BFA,30,,,,,34,32,29,35,36,31,30,38,38,38,38,42,42,41
Burundi,BDI,,,,,21,23,24,25,19,18,18,19,19,21,20,21,20,19,17
Cape Verde,CPV,,,,,,,,24,51,51,51,55,60,58,57,55,59,55,57
Cameroon,CMR,20,20,22,18,,22,23,49,23,22,22,25,26,25,27,27,26,25,25
Central African Republic,CAF,,,,,,,24,20,20,20,21,22,26,25,24,24,20,26,26
Chad,TCD,,,,,17,,20,18,16,16,17,22,19,19,22,22,20,20,19
Comoros,COM,,,,,,,,26,25,23,22,20,28,28,26,26,24,28,27
Congo,COG,,,,22,23,23,22,19,19,19,21,22,26,22,23,23,20,20,19
Ivory Coast ,CIV,27,24,27,37,20,19,21,21,20,21,21,22,29,27,32,32,34,36,35
DR Congo,COD,,,,,20,21,20,21,17,19,20,20,21,22,22,22,21,21,20
Equatorial Guinea,GNQ,,,,,,19,21,19,17,18,19,19,20,19,,,,17,16
Eritrea,ERI,,,,,26,26,29,28,26,26,26,25,25,20,18,18,18,23,24
Ethiopia,ETH,32,,35,25,23,22,24,24,26,27,27,27,33,33,33,33,34,33,34
Gabon,GAB,,,,,33,29,30,33,31,29,28,30,35,34,37,34,35,31,31
Gambia,GMB,,,,,28,27,25,23,19,29,32,35,34,28,29,28,26,37,37
Ghana,GHA,35,34,39,33,36,35,33,37,39,39,41,39,45,46,48,47,43,42,41
Guinea,GIN,,,,,,,19,19,16,18,20,21,24,24,25,25,27,28,28
Guinea Bissau,GNB,,,,,,,,22,19,19,21,22,25,19,19,17,16,17,16
Kenya,KEN,21,20,19,19,21,21,22,21,21,22,21,22,27,27,25,25,26,27,27
Lesotho,LSO,,,,,,34,32,33,32,33,35,35,45,49,49,44,39,40,41
Liberia,LBR,,,,,,22,,21,24,31,33,32,41,38,37,37,37,32,32
Madagascar,MDG,,,17,26,31,28,31,32,34,30,26,30,32,28,28,28,26,24,25
Malawi,MWI,41,32,29,28,28,28,27,27,28,33,34,30,37,37,33,31,31,31,32
Mali,MLI,,,,30,32,29,28,27,31,28,27,28,34,28,32,35,32,31,32
Mauritania,MRT,,,,,,,31,26,28,25,23,24,31,30,30,31,27,27,27
Mauritius,MUS,47,45,45,44,41,42,51,47,55,54,54,51,57,52,54,53,54,50,51
Mozambique,MOZ,22,,,27,28,28,28,28,26,25,27,27,31,30,31,31,27,22,23
Namibia,NAM,54,54,57,47,41,43,41,45,45,45,44,44,48,48,49,53,52,51,53
Niger,NER,,,,,22,24,23,26,28,29,26,25,33,34,35,34,35,32,34
Nigeria,NGA,12,10,16,14,16,19,22,22,27,25,24,24,27,25,27,26,28,27,27
Rwanda,RWA,,,,,,31,25,28,30,33,40,50,53,53,49,54,54,55,56
Sao Tome and Principe,STP,,,,,,,,27,27,28,30,30,42,42,42,42,46,46,46
Senegal,SEN,35,29,31,32,30,32,33,36,34,30,29,29,36,41,43,44,45,45,45
Seychelles,SYC,,,,,44,40,36,45,48,48,48,48,52,54,55,55,30,61,66
Sierra Leone,SLE,,,,22,23,24,22,21,19,22,24,25,31,30,31,29,10,30,30
South Africa,ZAF,50,48,48,44,46,45,46,51,49,47,45,41,43,42,44,44,45,43,43
South Sudan,SSD,,,,,,,,,,,,,,14,15,15,11,12,13
Sudan,SDN,,,,23,22,21,20,18,16,15,16,16,13,11,11,15,14,16,16
Swaziland,SWZ,,,,,,,,,,,,,37,39,,,,39,38
Tanzania,TZA,25,22,27,25,28,29,29,32,30,26,27,30,35,33,31,30,32,36,36
Togo,TGO,,,,,,,24,23,27,28,24,24,30,29,29,32,32,30,30
Uganda,UGA,23,19,21,22,26,25,27,28,26,25,25,24,29,26,26,25,25,25,26
Zambia,ZMB,34,26,26,25,26,,26,26,28,30,30,32,37,38,38,38,38,35,35
Zimbabwe,ZWE,30,29,27,23,23,26,24,21,18,22,24,22,20,21,21,21,22,22,22
Sub Saharan Africa,SSF,32.37,31.47,31.5,29.42,28.81,28.54,27.95,28.24,28.38,28.62,28.87,29.53,33.85,32.55,33.02,32.87,31.49,32.53,32.74
