Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,AGO,0.29,0.3,0.31,0.32,0.34,0.35,0.36,0.38,0.39,0.4,0.4,0.42,0.44,0.45,0.46,0.47,0.49,0.5,0.5
Benin,BEN,0.27,0.29,0.31,0.32,0.33,0.34,0.36,0.37,0.38,0.39,0.4,0.41,0.43,0.45,0.46,0.47,0.47,0.47,0.48
Botswana,BWA,0.59,0.6,0.6,0.6,0.61,0.61,0.62,0.63,0.63,0.63,0.64,0.64,0.65,0.65,0.65,0.66,0.66,0.66,0.66
Burkina Faso,BFA,0.14,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.21,0.22,0.23,0.25,0.25,0.26,0.26,0.28,0.29,0.3,0.3
Burundi,BDI,0.19,0.19,0.2,0.21,0.23,0.24,0.28,0.3,0.32,0.36,0.38,0.39,0.4,0.41,0.42,0.42,0.43,0.41,0.42
Cape Verde,CPV,0.44,0.44,0.45,0.45,0.46,0.46,0.49,0.49,0.5,0.5,0.51,0.52,0.52,0.54,0.54,0.54,0.54,0.54,0.54
Cameroon,CMR,0.37,0.41,0.41,0.41,0.41,0.41,0.41,0.43,0.44,0.46,0.38,0.49,0.51,0.52,0.53,0.55,0.56,0.56,0.56
Central African Republic,CAF,0.24,0.25,0.26,0.26,0.27,0.28,0.28,0.29,0.29,0.3,0.31,0.32,0.32,0.33,0.33,0.34,0.35,0.35,0.35
Chad,TCD,0.18,0.19,0.2,0.2,0.2,0.2,0.21,0.22,0.23,0.25,0.25,0.27,0.28,0.29,0.3,0.28,0.28,0.29,0.29
Comoros,COM,0.33,0.34,0.35,0.36,0.36,0.38,0.39,0.4,0.41,0.42,0.43,0.46,0.47,0.47,0.47,0.47,0.47,0.48,0.48
Congo,COG,0.45,0.45,0.45,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.5,0.5,0.5,0.51,0.52,0.53,0.54,0.54,0.54
DR Congo,COD,0.31,0.32,0.32,0.33,0.34,0.35,0.36,0.38,0.41,0.42,0.45,0.45,0.45,0.47,0.48,0.48,0.49,0.5,0.5
Ivory Coast,CIV,0.3,0.31,0.31,0.32,0.33,0.34,0.34,0.35,0.36,0.37,0.38,0.39,0.39,0.4,0.39,0.42,0.44,0.44,0.44
Equatorial Guinea,GNQ,0.4,0.41,0.41,0.42,0.42,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
Eritrea,ERI,..,..,..,..,..,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.29,0.28,0.28,0.27,0.27
Swaziland,SWZ,0.39,0.38,0.37,0.38,0.4,0.43,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.52,0.53,0.54,0.54,0.54,0.54
Ethiopia,ETH,0.17,0.19,0.2,0.21,0.22,0.25,0.26,0.28,0.3,0.3,0.31,0.31,0.31,0.32,0.32,0.33,0.33,0.34,0.34
Gabon,GAB,0.55,0.55,0.56,0.56,0.57,0.58,0.58,0.59,0.59,0.59,0.6,0.6,0.61,0.61,0.62,0.62,0.63,0.63,0.64
Gambia,GMB,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.34,0.34,0.35,0.36,0.36,0.37,0.37,0.38,0.39
Ghana,GHA,0.43,0.42,0.43,0.42,0.44,0.45,0.47,0.49,0.51,0.52,0.53,0.53,0.54,0.55,0.54,0.56,0.56,0.56,0.56
