Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,AGO,"$9,129,594,819 ","$8,936,063,723 ","$15,285,594,828 ","$17,812,705,294 ","$23,552,052,408 ","$36,970,918,699 ","$52,381,006,892 ","$65,266,452,081 ","$88,538,611,205 ","$70,307,163,678 ","$83,799,496,611 ","$111,789,686,464 ","$128,052,853,643 ","$136,709,862,831 ","$145,712,200,313 ","$116,193,649,124 ","$101,123,851,090 ","$122,123,822,334 ","$101,353,230,785 "
Benin,BEN,"$3,511,248,900 ","$3,663,017,700 ","$4,174,634,520 ","$5,337,266,688 ","$6,179,176,459 ","$6,565,043,460 ","$7,027,863,025 ","$8,158,257,572 ","$9,748,276,762 ","$9,699,586,794 ","$9,535,344,283 ","$10,693,321,954 ","$11,141,358,945 ","$12,517,845,732 ","$13,284,528,654 ","$11,388,160,958 ","$11,821,066,153 ","$12,701,656,931 ","$14,250,985,959 "
Botswana,BWA,"$5,788,329,609 ","$5,489,608,300 ","$5,438,857,107 ","$7,511,582,173 ","$8,957,467,707 ","$9,931,134,941 ","$10,126,940,513 ","$10,939,053,365 ","$10,945,070,442 ","$10,267,133,178 ","$12,786,654,366 ","$15,351,972,230 ","$14,420,393,564 ","$14,901,750,765 ","$16,250,750,259 ","$14,420,604,206 ","$15,646,316,818 ","$17,405,538,618 ","$18,663,264,706 "
Burkina Faso,BFA,"$2,956,746,304 ","$3,187,582,125 ","$3,605,329,547 ","$4,730,140,785 ","$5,441,918,269 ","$6,143,909,201 ","$6,541,603,851 ","$7,615,651,314 ","$9,413,335,567 ","$9,412,813,382 ","$10,109,618,964 ","$12,080,296,644 ","$12,561,016,091 ","$13,444,301,139 ","$13,943,016,924 ","$11,832,159,276 ","$12,822,558,022 ","$14,169,905,602 ","$16,199,434,625 "
Burundi,BDI,"$870,486,066 ","$876,794,723 ","$825,394,490 ","$784,654,424 ","$915,257,323 ","$1,117,113,046 ","$1,273,375,020 ","$1,356,199,365 ","$1,611,835,902 ","$1,781,455,092 ","$2,032,135,247 ","$2,235,820,868 ","$2,333,308,099 ","$2,451,625,333 ","$2,705,783,272 ","$3,104,394,858 ","$2,959,640,987 ","$3,172,292,379 ","$3,036,931,818 "
Cape verde,CPV,"$539,227,278 ","$563,024,383 ","$620,974,660 ","$813,963,830 ","$924,318,491 ","$971,977,088 ","$1,107,891,063 ","$1,513,933,983 ","$1,789,333,749 ","$1,711,817,182 ","$1,664,310,770 ","$1,865,915,544 ","$1,741,809,809 ","$1,850,470,042 ","$1,859,898,513 ","$1,596,800,287 ","$1,662,998,678 ","$1,769,787,215 ","$1,966,983,316 "
Cameroon,CMR,"$10,083,937,740 ","$10,371,327,756 ","$11,579,343,088 ","$14,548,845,765 ","$17,430,933,517 ","$17,944,084,201 ","$19,356,046,328 ","$22,365,265,026 ","$26,409,781,215 ","$26,017,925,552 ","$26,169,323,293 ","$29,375,448,542 ","$29,102,772,799 ","$32,357,345,501 ","$34,989,493,826 ","$30,928,653,814 ","$32,643,697,596 ","$35,009,262,788 ","$38,694,095,651 "
Central African Republic,CAF,"$914,500,299 ","$931,833,303 ","$991,387,870 ","$1,139,754,799 ","$1,270,080,251 ","$1,337,362,392 ","$1,460,561,215 ","$1,697,565,949 ","$1,985,240,986 ","$2,059,094,048 ","$2,142,591,376 ","$2,437,982,840 ","$2,510,126,699 ","$1,691,544,192 ","$1,894,813,505 ","$1,695,825,708 ","$1,825,018,191 ","$2,072,350,151 ","$2,220,978,978 "
Chad,TCD,"$1,385,058,162 ","$1,709,347,793 ","$1,987,622,279 ","$2,736,666,516 ","$4,414,929,220 ","$6,646,663,561 ","$7,422,102,656 ","$8,638,711,443 ","$10,351,932,604 ","$9,253,484,108 ","$10,668,102,735 ","$12,172,309,523 ","$12,367,363,678 ","$12,953,535,496 ","$13,940,768,066 ","$10,950,392,220 ","$10,097,778,354 ","$10,000,395,242 ","$11,239,167,048 "
Comoros,COM,"$350,264,288 ","$378,180,913 ","$423,962,977 ","$545,658,929 ","$632,570,092 ","$653,584,809 ","$697,810,988 ","$794,621,676 ","$911,967,429 ","$901,711,442 ","$907,978,724 ","$1,023,086,184 ","$1,015,843,369 ","$1,116,224,161 ","$1,149,587,652 ","$966,029,542 ","$1,012,835,518 ","$1,077,439,663 ","$1,178,530,758 "
DR Congo,COD,"$19,088,046,306 ","$7,438,189,100 ","$8,728,038,525 ","$8,937,567,060 ","$10,297,483,481 ","$11,964,484,668 ","$14,451,902,468 ","$16,737,071,816 ","$19,788,515,874 ","$18,648,373,312 ","$21,565,720,044 ","$25,839,749,199 ","$29,306,235,826 ","$32,679,745,298 ","$35,909,040,266 ","$37,917,704,900 ","$37,134,799,975 ","$38,019,265,626 ","$46,831,342,213 "
Congo,COG,"$3,219,910,550 ","$2,794,259,783 ","$3,019,993,739 ","$3,495,868,808 ","$4,648,628,921 ","$6,087,003,176 ","$7,731,261,311 ","$8,394,688,284 ","$11,859,013,281 ","$9,593,537,551 ","$12,019,594,809 ","$14,444,509,756 ","$13,677,147,848 ","$14,089,855,509 ","$14,196,322,768 ","$8,556,594,871 ","$9,041,986,778 ","$9,035,182,062 ","$11,662,700,148 "
Ivory Coast,CIV,"$10,717,022,463 ","$11,192,560,827 ","$12,346,919,216 ","$15,306,602,560 ","$16,554,441,847 ","$17,084,928,927 ","$17,800,887,796 ","$20,343,635,320 ","$24,224,903,100 ","$24,277,493,862 ","$24,908,781,285 ","$25,414,875,503 ","$26,789,047,555 ","$31,273,074,528 ","$35,363,533,866 ","$45,814,637,971 ","$47,964,234,560 ","$51,588,158,718 ","$57,724,731,365 "
Equatorial Guinea,GNQ,"$1,045,998,496 ","$1,461,139,022 ","$1,806,742,742 ","$2,484,745,935 ","$4,410,764,339 ","$8,217,369,093 ","$10,086,528,699 ","$13,071,718,759 ","$19,749,893,536 ","$15,027,795,173 ","$16,314,442,183 ","$21,357,344,847 ","$22,388,345,810 ","$21,948,835,350 ","$21,765,454,404 ","$13,185,496,836 ","$11,240,809,132 ","$12,200,914,930 ","$13,278,488,567 "
Eritrea,ERI,"$706,370,816 ","$752,368,496 ","$729,321,367 ","$870,247,703 ","$1,109,054,005 ","$1,098,425,901 ","$1,211,161,880 ","$1,317,974,491 ","$1,380,188,800 ","$1,856,695,551 ","$1,589,515,447 ","$2,065,001,626 ", .. , .. , .. , .. , .. , .. , .. 
Swaziland,SWZ,"$1,738,100,853 ","$1,542,477,355 ","$1,432,228,173 ","$2,197,612,767 ","$2,770,082,822 ","$3,178,126,555 ","$3,291,353,806 ","$3,469,363,925 ","$3,294,093,364 ","$3,580,417,161 ","$4,438,778,547 ","$4,820,499,497 ","$4,886,658,806 ","$4,597,702,903 ","$4,422,304,975 ","$4,073,390,990 ","$3,840,677,845 ","$4,446,248,676 ","$4,710,618,470 "
Ethiopia,ETH,"$8,242,392,104 ","$8,231,326,016 ","$7,850,809,498 ","$8,623,691,300 ","$10,131,187,261 ","$12,401,139,454 ","$15,280,861,835 ","$19,707,616,773 ","$27,066,912,635 ","$32,437,389,116 ","$29,933,790,334 ","$31,952,763,089 ","$43,310,721,414 ","$47,648,211,133 ","$55,612,228,234 ","$64,589,334,979 ","$74,296,618,481 ","$81,770,791,971 ","$84,269,348,327 "
Gabon,GAB,"$5,067,865,321 ","$5,018,874,179 ","$5,310,381,151 ","$6,497,305,662 ","$7,756,293,575 ","$9,578,973,591 ","$10,318,424,464 ","$12,438,956,756 ","$15,508,574,820 ","$12,065,138,273 ","$14,372,591,916 ","$18,210,308,748 ","$17,170,465,294 ","$17,595,745,653 ","$18,203,968,002 ","$14,383,107,714 ","$14,023,890,620 ","$14,929,488,771 ","$16,862,282,414 "
Gambia,GMB,"$782,915,402 ","$687,408,805 ","$578,236,035 ","$487,038,822 ","$961,900,107 ","$1,027,702,254 ","$1,054,113,427 ","$1,279,704,745 ","$1,561,763,437 ","$1,450,140,386 ","$1,543,292,393 ","$1,409,694,554 ","$1,415,006,238 ","$1,375,608,956 ","$1,229,460,602 ","$1,354,788,659 ","$1,470,006,034 ","$1,498,044,491 ","$1,624,600,882 "
Ghana,GHA,"$4,983,024,408 ","$5,314,909,954 ","$6,166,330,136 ","$7,632,406,553 ","$8,881,368,538 ","$10,731,634,117 ","$20,409,668,522 ","$24,758,819,718 ","$28,526,891,010 ","$25,977,847,814 ","$32,197,272,797 ","$39,337,314,810 ","$41,270,954,737 ","$62,405,374,786 ","$53,660,342,160 ","$48,564,863,888 ","$55,009,730,600 ","$58,998,132,330 ","$65,556,464,048 "
Guinea,GIN,"$2,995,360,969 ","$2,833,442,750 ","$2,949,637,039 ","$3,446,442,219 ","$3,666,349,049 ","$2,937,071,767 ","$4,220,019,243 ","$6,281,917,656 ","$6,964,179,194 ","$6,716,904,569 ","$6,853,467,858 ","$6,785,137,173 ","$7,638,045,254 ","$8,376,613,843 ","$8,778,473,615 ","$8,794,202,444 ","$8,603,884,845 ","$10,336,634,799 ","$12,207,116,729 "
