Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,AGO,$360 ,$390 ,$590 ,$710 ,"$1,010 ","$1,370 ","$1,810 ","$2,460 ","$3,030 ","$3,170 ","$3,240 ","$3,420 ","$4,170 ","$4,780 ","$5,010 ","$4,520 ","$3,770 ","$3,450 ","$3,210 "
Benin,BEN,$480 ,$530 ,$530 ,$600 ,$730 ,$820 ,$860 ,$920 ,"$1,030 ","$1,080 ","$1,080 ","$1,090 ","$1,120 ","$1,220 ","$1,270 ","$1,180 ","$1,110 ","$1,090 ","$1,200 "
Botswana,BWA,"$3,170 ","$3,260 ","$2,930 ","$3,370 ","$3,920 ","$4,940 ","$5,440 ","$5,730 ","$5,740 ","$5,330 ","$5,610 ","$6,610 ","$7,260 ","$7,580 ","$7,530 ","$6,840 ","$6,570 ","$6,730 ","$7,410 "
Burundi,BDI,$130 ,$130 ,$130 ,$120 ,$120 ,$140 ,$150 ,$170 ,$190 ,$200 ,$220 ,$230 ,$250 ,$260 ,$260 ,$260 ,$270 ,$280 ,$280 
Cape Verde,CPV,"$1,410 ","$1,350 ","$1,300 ","$1,520 ","$1,900 ","$2,160 ","$2,300 ","$2,820 ","$3,300 ","$3,480 ","$3,400 ","$3,510 ","$3,440 ","$3,490 ","$3,360 ","$3,210 ","$3,130 ","$3,080 ","$3,400 "
Cameroon,CMR,$670 ,$640 ,$630 ,$730 ,$910 ,"$1,010 ","$1,060 ","$1,110 ","$1,240 ","$1,320 ","$1,330 ","$1,350 ","$1,370 ","$1,430 ","$1,490 ","$1,440 ","$1,380 ","$1,340 ","$1,440 "
Central African Republic,CAF,$260 ,$260 ,$250 ,$260 ,$300 ,$340 ,$350 ,$380 ,$420 ,$480 ,$510 ,$530 ,$570 ,$380 ,$390 ,$400 ,$410 ,$440 ,$490 
Chad,TCD,$180 ,$190 ,$190 ,$210 ,$330 ,$470 ,$530 ,$630 ,$700 ,$830 ,$910 ,$880 ,$960 ,$970 ,$980 ,$880 ,$730 ,$640 ,$680 
DR Congo,COD,$130 ,$140 ,$190 ,$170 ,$190 ,$200 ,$230 ,$260 ,$290 ,$300 ,$320 ,$340 ,$380 ,$410 ,$440 ,$460 ,$470 ,$460 ,$500 
Congo,COG,$560 ,$630 ,$670 ,$690 ,$770 ,$950 ,"$1,180 ","$1,350 ","$1,790 ","$1,880 ","$2,120 ","$2,120 ","$2,390 ","$2,490 ","$2,590 ","$2,420 ","$1,820 ","$1,510 ","$1,680 "
Ivory Coast,CIV,$640 ,$590 ,$560 ,$620 ,$770 ,$930 ,$930 ,$960 ,"$1,070 ","$1,160 ","$1,190 ","$1,120 ","$1,230 ","$1,330 ","$1,450 ","$1,660 ","$1,840 ","$2,030 ","$2,180 "
Comoros,COM,$730 ,$700 ,$680 ,$780 ,$940 ,"$1,090 ","$1,130 ","$1,160 ","$1,290 ","$1,370 ","$1,380 ","$1,400 ","$1,420 ","$1,490 ","$1,490 ","$1,380 ","$1,320 ","$1,280 ","$1,380 "
Equatorial Guinea,GNQ,$770 ,$900 ,"$1,270 ","$1,190 ","$1,720 ","$3,890 ","$8,110 ","$11,600 ","$14,250 ","$12,530 ","$9,970 ","$11,540 ","$13,870 ","$14,030 ","$13,230 ","$10,850 ","$8,270 ","$6,510 ","$6,650 "
Eritrea,ERI,$300 ,$310 ,$300 ,$300 ,$340 ,$390 ,$410 ,$420 ,$410 ,$480 ,$510 ,$600 , .. , .. , .. , .. , .. , .. , .. 
Swaziland,SWZ,"$1,670 ","$1,700 ","$1,570 ","$1,700 ","$2,160 ","$3,080 ","$3,300 ","$3,480 ","$3,360 ","$3,320 ","$3,460 ","$4,080 ","$4,590 ","$4,660 ","$4,320 ","$4,000 ","$3,470 ","$3,440 ","$3,600 "
Ethiopia,ETH,$130 ,$130 ,$120 ,$110 ,$140 ,$160 ,$180 ,$220 ,$280 ,$340 ,$380 ,$390 ,$410 ,$470 ,$550 ,$600 ,$670 ,$740 ,$800 
Gabon,GAB,"$3,090 ","$3,420 ","$3,600 ","$3,870 ","$4,300 ","$5,510 ","$5,740 ","$6,580 ","$7,310 ","$7,570 ","$7,830 ","$8,110 ","$9,090 ","$9,330 ","$9,330 ","$7,970 ","$7,080 ","$6,510 ","$6,830 "
Gambia,GMB,$620 ,$560 ,$440 ,$390 ,$470 ,$520 ,$640 ,$700 ,$810 ,$880 ,$890 ,$760 ,$760 ,$730 ,$650 ,$620 ,$620 ,$650 ,$710 
Ghana,GHA,$340 ,$300 ,$270 ,$320 ,$380 ,$460 ,$590 ,$790 ,"$1,140 ","$1,190 ","$1,230 ","$1,380 ","$1,530 ","$1,850 ","$1,900 ","$1,940 ","$1,820 ","$1,890 ","$2,130 "
Guinea-Bissau,GNB,$210 ,$250 ,$300 ,$330 ,$380 ,$430 ,$440 ,$470 ,$510 ,$560 ,$580 ,$640 ,$630 ,$640 ,$640 ,$640 ,$650 ,$680 ,$750 
Kenya,KEN,$410 ,$400 ,$380 ,$400 ,$450 ,$510 ,$580 ,$700 ,$820 ,$900 ,$960 ,$990 ,"$1,050 ","$1,130 ","$1,240 ","$1,290 ","$1,350 ","$1,420 ","$1,600 "
Lesotho,LSO,$580 ,$640 ,$590 ,$670 ,$810 ,"$1,020 ","$1,130 ","$1,300 ","$1,310 ","$1,230 ","$1,300 ","$1,440 ","$1,610 ","$1,560 ","$1,450 ","$1,340 ","$1,300 ","$1,240 ","$1,280 "
Malawi,MWI,$160 ,$140 ,$170 ,$220 ,$300 ,$300 ,$310 ,$330 ,$370 ,$410 ,$450 ,$490 ,$460 ,$410 ,$370 ,$350 ,$340 ,$340 ,$350 
Madagascar,MDG,$290 ,$300 ,$280 ,$340 ,$340 ,$340 ,$330 ,$380 ,$450 ,$470 ,$470 ,$480 ,$500 ,$520 ,$520 ,$490 ,$470 ,$470 ,$510 
Mali,MLI,$280 ,$300 ,$290 ,$350 ,$400 ,$460 ,$500 ,$530 ,$610 ,$660 ,$690 ,$730 ,$730 ,$780 ,$810 ,$800 ,$780 ,$770 ,$840 
Mauritania,MRT,$730 ,$650 ,$650 ,$710 ,$800 ,$940 ,"$1,150 ","$1,230 ","$1,380 ","$1,440 ","$1,500 ","$1,600 ","$1,760 ","$1,850 ","$1,750 ","$1,640 ","$1,510 ","$1,500 ","$1,580 "
Mauritius,MUS,"$3,900 ","$3,970 ","$3,960 ","$4,410 ","$5,170 ","$5,600 ","$5,930 ","$6,490 ","$7,400 ","$7,800 ","$8,080 ","$8,400 ","$9,550 ","$10,520 ","$10,820 ","$10,700 ","$10,640 ","$10,980 ","$12,040 "
Namibia,NAM,"$2,260 ","$2,100 ","$2,010 ","$2,290 ","$2,890 ","$3,530 ","$4,040 ","$4,210 ","$4,310 ","$4,260 ","$4,510 ","$5,150 ","$5,680 ","$5,910 ","$5,760 ","$5,290 ","$4,700 ","$4,610 ","$4,900 "
Rwanda,RWA,$240 ,$220 ,$220 ,$210 ,$240 ,$280 ,$330 ,$390 ,$490 ,$560 ,$610 ,$660 ,$710 ,$730 ,$740 ,$750 ,$750 ,$740 ,$780 
