Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,AGO,-6,-6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Benin,BEN,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
Botswana,BWA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burkina Faso,BFA,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
Burundi,BDI,-1,0,0,0,0,6,6,6,6,6,6,6,6,6,6,-1,-1,-1,-1
Cape verde,CPV,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cameroon,CMR,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
Central African Republic,CAF,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,6,6,6
Chad,TCD,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Comoros,COM,-1,0,4,4,6,6,9,9,9,9,9,9,9,9,9,9,9,9,-3
Congo,COG,-6,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
Ivory Coast,CIV,4,4,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
DR Congo,COD,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,-3,-3,-3
Equatorial Guinea,GNQ,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
Eritrea,ERI,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Ethiopia,ETH,1,1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1
Gabon,GAB,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,3,3,3,3,3,3,3,3,3
Gambia,GMB,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,4
Ghana,GHA,2,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Guinea,GIN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,4,4,4,4,4,4
Guinea Bissau,GNB,5,5,5,-1,-1,6,6,6,6,6,6,6,1,1,6,6,6,6,6
Kenya,KEN,4,4,8,8,8,8,8,7,7,7,8,8,8,9,9,9,9,9,9
Lesotho,LSO,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Liberia,LBR,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,7
Madagascar,MDG,7,7,7,7,7,7,7,7,7,0,0,3,3,3,6,6,6,6,6
Malawi,MWI,6,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Mali,MLI,5,5,5,5,5,7,7,7,7,7,7,7,0,5,5,5,5,5,5
Mauritania,MRT,-6,-6,-6,-6,-6,-5,-3,4,-5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Mauritius,MUS,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mozambique,MOZ,6,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Namibia,NAM,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Niger,NER,-4,0,0,6,6,6,-3,-3,-3,5,5,5,5,5,6,6,6,6,6
Nigeria,NGA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7
Rwanda,RWA,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,-3,-3,-3,-3,-3,-3
Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,,,
Senegal,SEN,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
Seychelles,SYC,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,0,0,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7
South Africa,ZAF,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
South Sudan,SSD,,,,,,,,,,,,0,0,0,0,0,0,0,0
Sudan,SDN,-6,-6,-6,-6,-6,-3,-3,-3,-3,-3,-2,-2,-4,-4,-4,-4,-4,-4,-4
Swaziland,SWZ,-7,-7,-7,-7,-7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Tanzania,TZA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3
Togo,TGO,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-2,-2,-2,-2,-2,-2,-2,-2
Uganda,UGA,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Zambia,ZMB,1,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,6,6,6
Zimbabwe,ZWE,-3,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,4,4,4,4,4,4
Sub-Saharan Africa,SSF,0.66,0.98,1.34,1.27,1.41,1.73,1.91,2.07,1.91,2.27,2.39,2.49,2.18,2.49,2.69,2.82,2.76,2.96,2.8
