id,country_name,country_code,series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
8,Angola,AGO,Political Stability,-60,-60,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20
8,Benin,BEN,Political Stability,60,60,60,60,60,60,70,70,70,70,70,70,70,70,70,70,70,70,70
8,Botswana,BWA,Political Stability,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
8,Burkina Faso,BFA,Political Stability,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60
8,Burundi,BDI,Political Stability,-10,0,0,0,0,60,60,60,60,60,60,60,60,60,60,-10,-10,-10,-10
8,Cape Verde,CPV,Political Stability,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,Cameroon,CMR,Political Stability,-50,-50,-50,-50,-50,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
8,Central African Republic,CAF,Political Stability,50,50,50,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,0,0,60,60,60
8,Chad,TCD,Political Stability,-10,-10,-10,-10,-10,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20
8,Comoros,COM,Political Stability,-10,0,40,40,60,60,90,90,90,90,90,90,90,90,90,90,90,90,-30
8,Congo,COG,Political Stability,-60,-50,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
8,Ivory Coast,CIV,Political Stability,40,40,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40
8,DR Congo,COD,Political Stability,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,-30,-30,-30
8,Equatorial Guinea,GNQ,Political Stability,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60
8,Eritrea,ERI,Political Stability,-60,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70
8,Ethiopia,ETH,Political Stability,10,10,10,10,10,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,10
8,Gabon,GAB,Political Stability,-40,-40,-40,-40,-40,-40,-40,-40,-40,30,30,30,30,30,30,30,30,30,30
8,Gambia,GMB,Political Stability,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,40,40
8,Ghana,GHA,Political Stability,20,60,60,60,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
8,Guinea,GIN,Political Stability,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,10,10,10,40,40,40,40,40,40
8,Guinea-Bissau,GNB,Political Stability,50,50,50,-10,-10,60,60,60,60,60,60,60,10,10,60,60,60,60,60
8,Kenya,KEN,Political Stability,40,40,80,80,80,80,80,70,70,70,80,80,80,90,90,90,90,90,90
8,Lesotho,LSO,Political Stability,60,60,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
8,Liberia,LBR,Political Stability,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,70
8,Madagascar,MDG,Political Stability,70,70,70,70,70,70,70,70,70,0,0,30,30,30,60,60,60,60,60
8,Malawi,MWI,Political Stability,60,40,40,50,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
8,Mali,MLI,Political Stability,50,50,50,50,50,70,70,70,70,70,70,70,0,50,50,50,50,50,50
8,Mauritania,MRT,Political Stability,-60,-60,-60,-60,-60,-50,-30,40,-50,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20
8,Mauritius,MUS,Political Stability,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,Mozambique,MOZ,Political Stability,60,40,40,50,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
8,Namibia,NAM,Political Stability,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
8,Niger,NER,Political Stability,-40,0,0,60,60,60,-30,-30,-30,50,50,50,50,50,60,60,60,60,60
8,Nigeria,NGA,Political Stability,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,70,70,70,70
8,Rwanda,RWA,Political Stability,-40,-40,-40,-30,-30,-30,-30,-30,-30,-30,-40,-40,-40,-30,-30,-30,-30,-30,-30
8,Sao Tome and Principe,STP,Political Stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Senegal,SEN,Political Stability,80,80,80,80,80,80,80,70,70,70,70,70,70,70,70,70,70,70,70
8,Seychelles,SYC,Political Stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sierra Leone,SLE,Political Stability,0,0,50,50,50,50,50,70,70,70,70,70,70,70,70,70,70,70,70
8,South Africa,ZAF,Political Stability,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
8,South Sudan,SSD,Political Stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sudan,SDN,Political Stability,-60,-60,-60,-60,-60,-30,-30,-30,-30,-30,-20,-20,-40,-40,-40,-40,-40,-40,-40
8,Swaziland,SWZ,Political Stability,-70,-70,-70,-70,-70,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90
8,Tanzania,TZA,Political Stability,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,30,30,30,30
8,Togo,TGO,Political Stability,-20,-20,-20,-20,-20,-40,-40,-40,-40,-40,-20,-20,-20,-20,-20,-20,-20,-20,-20
8,Uganda,UGA,Political Stability,-40,-40,-40,-40,-40,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
8,Zambia,ZMB,Political Stability,10,50,50,50,50,50,50,50,70,70,70,70,70,70,70,70,60,60,60
8,Zimbabwe,ZWE,Political Stability,-30,-40,-40,-40,-40,-40,-40,-40,-40,10,10,10,10,40,40,40,40,40,40
8,Sub-Saharan Africa,SSF,Political Stability,6.6,9.8,13.4,12.7,14.1,17.3,19.1,20.7,19.1,22.7,23.9,24.9,21.8,24.9,26.9,28.2,27.6,29.6,28
